eth_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-02T00:00:00.0000000Z,2108.65,2158.98,2017.79,2154.67,71571.16453735,25567
2021-07-03T00:00:00.0000000Z,2155.31,2239.0,2108.58,2227.0,31233.91236131,15447
2021-07-04T00:00:00.0000000Z,2227.52,2387.84,2190.98,2323.6,33924.91861322,19268
2021-07-05T00:00:00.0000000Z,2323.07,2324.35,2156.92,2196.96,54954.0248473,24435
2021-07-06T00:00:00.0000000Z,2197.85,2349.0,2195.0,2322.37,42406.77281329,23211
2021-07-07T00:00:00.0000000Z,2322.0,2408.88,2295.2,2318.11,50725.51116955,25705
2021-07-08T00:00:00.0000000Z,2317.14,2325.0,2083.57,2114.87,61762.42557448,28648
2021-07-09T00:00:00.0000000Z,2115.61,2186.0,2049.25,2146.91,54777.47740489,24208
2021-07-10T00:00:00.0000000Z,2146.9,2191.41,2075.04,2111.03,35934.93331127,16927
2021-07-11T00:00:00.0000000Z,2112.08,2171.88,2081.9,2140.08,14819.04917207,10262
2021-07-12T00:00:00.0000000Z,2139.95,2169.18,2007.07,2033.39,45253.61441751,18403
2021-07-13T00:00:00.0000000Z,2032.0,2046.83,1917.33,1939.07,53450.53951394,23769
2021-07-14T00:00:00.0000000Z,1940.25,2018.43,1865.6,1993.71,57583.20479255,27679
2021-07-15T00:00:00.0000000Z,1993.7,2040.91,1880.46,1917.46,47713.72506953,25501
2021-07-16T00:00:00.0000000Z,1918.03,1963.49,1845.07,1875.39,40831.12639768,25646
2021-07-17T00:00:00.0000000Z,1875.76,1919.0,1848.08,1898.77,40119.78137485,20425
