atom_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-02-28T00:00:00.0000000Z,3.6963,3.7491,3.4299,3.5669,35258.24594399,341
2020-02-29T00:00:00.0000000Z,3.6178,3.66,3.447,3.447,33778.40932906,287
2020-03-01T00:00:00.0000000Z,3.4474,3.5397,3.261,3.3604,42216.23082916,346
2020-03-02T00:00:00.0000000Z,3.3401,3.774,3.3399,3.7204,36586.78587473,306
2020-03-03T00:00:00.0000000Z,3.6898,3.7033,3.5195,3.6034,63697.27845043,484
2020-03-04T00:00:00.0000000Z,3.65,3.8808,3.6481,3.7393,78876.20809132,611
2020-03-05T00:00:00.0000000Z,3.7802,3.94,3.749,3.7521,45137.5586988,621
2020-03-06T00:00:00.0000000Z,3.7529,3.8654,3.709,3.8654,8876.61648142,188
2020-03-07T00:00:00.0000000Z,3.8448,3.8451,3.5954,3.6243,25725.59008577,271
2020-03-08T00:00:00.0000000Z,3.5879,3.5879,3.0602,3.08,83446.45059118,728
2020-03-09T00:00:00.0000000Z,3.1333,3.1538,2.8328,2.9979,124130.05325765,951
2020-03-10T00:00:00.0000000Z,3.0324,3.192,2.8908,3.0746,81137.09448285,534
2020-03-11T00:00:00.0000000Z,3.0731,3.0798,2.7095,3.0068,36752.25741528,369
2020-03-12T00:00:00.0000000Z,3.0129,3.0217,1.5012,1.6131,233776.80818326,2560
2020-03-13T00:00:00.0000000Z,1.6411,1.9579,1.1151,1.8283,312553.01704695,2397
2020-03-14T00:00:00.0000000Z,1.8184,1.9971,1.6981,1.8366,64297.24375887,621
2020-03-15T00:00:00.0000000Z,1.8247,2.08,1.8177,1.9143,68636.62896629,506
2020-03-16T00:00:00.0000000Z,1.9,1.9,1.5,1.6749,131458.16881597,960
2020-03-17T00:00:00.0000000Z,1.6759,1.8529,1.643,1.7741,23440.74733822,297
2020-03-18T00:00:00.0000000Z,1.7746,1.84,1.6504,1.8125,73938.8589811,599
2020-03-19T00:00:00.0000000Z,1.8177,2.1417,1.7801,2.0635,90835.33494116,573
2020-03-20T00:00:00.0000000Z,2.0759,2.4794,1.8217,2.1832,273373.39409315,1352
2020-03-21T00:00:00.0000000Z,2.1821,2.2364,2.0023,2.1548,72552.20103996,533
2020-03-22T00:00:00.0000000Z,2.1399,2.2291,1.9207,1.9223,67003.67369095,475
2020-03-23T00:00:00.0000000Z,1.9179,2.132,1.8728,2.1112,49313.01819964,346
2020-03-24T00:00:00.0000000Z,2.1325,2.22,2.0903,2.1627,45809.24847409,303
2020-03-25T00:00:00.0000000Z,2.1293,2.1867,2.0479,2.0863,34840.66860047,249
2020-03-26T00:00:00.0000000Z,2.1045,2.1782,2.07,2.1782,22503.64758816,178
2020-03-27T00:00:00.0000000Z,2.19,2.2056,1.967,1.967,35038.0023705,243
2020-03-28T00:00:00.0000000Z,1.9868,1.988,1.8811,1.965,67882.1250683,365
2020-03-29T00:00:00.0000000Z,1.954,1.9809,1.8587,1.8618,14653.62449712,293
