aave_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-06T00:00:00.0000000Z,373.25,379.22,358.11,369.56,3554.81075406,1540
2021-08-07T00:00:00.0000000Z,369.05,399.01,365.47,384.49,6292.9186525,3502
2021-08-08T00:00:00.0000000Z,384.6,389.21,352.1,361.91,2852.50006241,2134
2021-08-09T00:00:00.0000000Z,362.83,384.42,347.34,375.0,7348.3842041,2291
2021-08-10T00:00:00.0000000Z,375.06,401.29,368.37,383.96,8752.81680135,3364
2021-08-11T00:00:00.0000000Z,383.98,420.0,383.14,405.02,6733.10063698,2755
2021-08-12T00:00:00.0000000Z,403.06,417.99,376.03,392.18,6169.76601544,2346
2021-08-13T00:00:00.0000000Z,392.63,428.37,389.0,427.54,8924.10738181,2551
2021-08-14T00:00:00.0000000Z,427.73,428.17,405.0,414.72,3064.40301546,1318
2021-08-15T00:00:00.0000000Z,415.57,416.74,391.64,410.89,7123.26149395,1943
2021-08-16T00:00:00.0000000Z,410.9,446.6,408.23,412.79,12047.16525728,3529
2021-08-17T00:00:00.0000000Z,413.0,447.64,380.83,380.83,9543.55454402,3505
2021-08-18T00:00:00.0000000Z,381.11,397.46,361.5,380.75,9222.54001937,3538
2021-08-19T00:00:00.0000000Z,381.06,404.79,371.32,404.66,4119.15946538,1860
2021-08-20T00:00:00.0000000Z,405.6,420.89,403.75,406.96,6041.14208266,2410
2021-08-21T00:00:00.0000000Z,408.55,415.61,394.0,399.98,7850.44061054,2885
2021-08-22T00:00:00.0000000Z,402.62,408.44,386.17,402.25,3845.08860426,1274
2021-08-23T00:00:00.0000000Z,401.92,414.75,399.78,408.25,6367.31089257,1962
2021-08-24T00:00:00.0000000Z,408.07,413.77,370.24,378.63,9999.1998575,3073
2021-08-25T00:00:00.0000000Z,379.66,386.88,354.0,383.81,12199.196845,3622
2021-08-26T00:00:00.0000000Z,384.58,389.25,341.29,351.05,6774.38258531,2214
2021-08-27T00:00:00.0000000Z,350.24,376.07,344.58,372.65,14914.62106983,2862
2021-08-28T00:00:00.0000000Z,374.82,375.59,362.42,367.04,3414.13480134,909
2021-08-29T00:00:00.0000000Z,367.49,377.77,356.03,364.38,3752.25972175,1032
2021-08-30T00:00:00.0000000Z,364.06,376.7,346.66,356.87,3535.43006452,1186
2021-08-31T00:00:00.0000000Z,356.46,396.96,351.56,391.66,7683.6442097,3208
2021-09-01T00:00:00.0000000Z,390.94,414.08,382.74,414.08,5828.24720024,3141
2021-09-02T00:00:00.0000000Z,412.76,414.87,399.24,400.53,3963.79311,1622
2021-09-03T00:00:00.0000000Z,399.63,407.6,387.81,394.19,6340.32522996,2050
2021-09-04T00:00:00.0000000Z,394.31,406.54,390.94,399.52,3176.57638798,1097
2021-09-05T00:00:00.0000000Z,399.02,425.3,395.1,416.89,8337.58078827,3083
2021-09-06T00:00:00.0000000Z,416.77,425.0,396.34,409.7,7736.01161614,2209
2021-09-07T00:00:00.0000000Z,408.37,408.64,300.0,346.22,24179.86606487,9368
2021-09-08T00:00:00.0000000Z,346.87,353.19,312.81,329.84,10121.98915533,3982
2021-09-09T00:00:00.0000000Z,330.3,350.56,325.5,330.16,8481.25843117,2740
2021-09-10T00:00:00.0000000Z,330.08,340.1,305.0,312.11,10390.94191796,2817
2021-09-11T00:00:00.0000000Z,312.2,339.86,311.22,328.49,3276.88435377,1106
2021-09-12T00:00:00.0000000Z,328.81,347.77,322.29,333.81,3020.5784038,1258
2021-09-13T00:00:00.0000000Z,334.43,337.62,303.62,329.82,15545.55129981,4557
2021-09-14T00:00:00.0000000Z,329.41,389.64,327.36,384.17,19110.40141137,4534
2021-09-15T00:00:00.0000000Z,384.64,417.11,377.3,415.19,8625.28474301,2790
2021-09-16T00:00:00.0000000Z,415.19,415.19,371.15,384.31,11386.09978351,2592
2021-09-17T00:00:00.0000000Z,384.59,389.41,350.73,355.07,6001.42992859,1346
2021-09-18T00:00:00.0000000Z,354.25,368.64,347.26,355.58,4325.2889091,747
2021-09-19T00:00:00.0000000Z,355.09,357.26,335.54,339.02,3978.60692811,743
