ethc_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-09T00:00:00.0000000Z,19.591,20.052,18.539,18.77,26318.00523804,1024
2021-04-10T00:00:00.0000000Z,18.5,21.195,18.363,20.42,56604.2475876,2183
2021-04-11T00:00:00.0000000Z,20.434,21.43,19.876,20.348,47335.8267366,1977
2021-04-12T00:00:00.0000000Z,20.337,20.5,19.028,19.561,37518.66644502,1183
2021-04-13T00:00:00.0000000Z,19.522,22.051,19.412,21.19,85877.46882845,2275
2021-04-14T00:00:00.0000000Z,21.19,22.728,20.19,21.743,60615.32665902,2438
2021-04-15T00:00:00.0000000Z,21.967,29.0,21.414,28.189,238502.49188617,6631
2021-04-16T00:00:00.0000000Z,28.815,46.0,28.775,38.452,668197.28760392,18616
2021-04-17T00:00:00.0000000Z,38.829,49.909,37.212,38.153,356914.53701552,11615
2021-04-19T00:00:00.0000000Z,37.312,38.415,32.138,33.506,105849.97129359,3218
2021-04-20T00:00:00.0000000Z,33.571,35.034,30.095,33.695,38041.52777802,1452
2021-04-21T00:00:00.0000000Z,33.95,35.449,31.597,32.196,41453.38506993,1681
2021-04-22T00:00:00.0000000Z,31.9,39.466,31.544,33.548,136788.90702865,5187
2021-04-23T00:00:00.0000000Z,33.559,34.45,25.83,30.819,102066.14885785,3339
2021-04-24T00:00:00.0000000Z,32.836,32.849,31.629,31.629,1234.73078419,94
2021-04-25T00:00:00.0000000Z,29.546,31.863,27.779,29.081,40627.10713172,1383
2021-04-26T00:00:00.0000000Z,29.253,32.916,29.236,32.916,40096.26050535,1634
2021-04-27T00:00:00.0000000Z,32.947,34.402,32.038,33.681,40822.88965778,1635
2021-04-28T00:00:00.0000000Z,33.966,36.361,32.305,35.084,42267.33905748,2067
2021-04-29T00:00:00.0000000Z,35.004,35.278,33.629,34.499,30949.10513323,1142
2021-04-30T00:00:00.0000000Z,34.533,36.72,33.674,36.348,34844.51844983,1439
2021-05-01T00:00:00.0000000Z,36.358,46.587,36.305,44.721,176303.91039361,5998
2021-05-02T00:00:00.0000000Z,44.748,46.563,42.053,44.802,128279.27614205,4576
2021-05-03T00:00:00.0000000Z,44.81,52.598,44.359,52.217,155519.65328476,6166
2021-05-04T00:00:00.0000000Z,52.357,73.179,49.102,69.393,554851.09431708,19361
2021-05-05T00:00:00.0000000Z,69.444,100.899,68.201,94.891,1122262.29490286,47355
2021-05-06T00:00:00.0000000Z,94.765,176.72,87.0,134.174,1651091.29637031,86539
2021-05-07T00:00:00.0000000Z,134.078,145.88,106.871,119.939,989178.1023615,50721
2021-05-08T00:00:00.0000000Z,120.109,140.0,111.005,128.553,451746.74818006,27383
2021-05-09T00:00:00.0000000Z,128.589,130.851,113.33,118.979,239232.88340383,17309
2021-05-10T00:00:00.0000000Z,119.047,131.908,91.251,105.96,332864.81895885,18506
2021-05-11T00:00:00.0000000Z,105.957,118.5,103.0,112.98,192431.83182714,9592
2021-05-12T00:00:00.0000000Z,113.044,116.589,82.22,84.366,257985.91701441,13390
2021-05-13T00:00:00.0000000Z,84.284,95.326,79.169,88.902,290319.63511836,13948
2021-05-14T00:00:00.0000000Z,88.844,110.664,87.15,103.703,260913.24166939,14351
2021-05-15T00:00:00.0000000Z,103.87,114.358,94.627,94.796,132534.83165568,7702
2021-05-16T00:00:00.0000000Z,95.011,103.213,86.716,93.687,114493.85241356,5690
2021-05-17T00:00:00.0000000Z,93.77,94.189,81.0,90.048,138752.32747191,7068
2021-05-18T00:00:00.0000000Z,90.43,95.726,86.005,89.117,57277.87155277,3476
2021-05-19T00:00:00.0000000Z,88.883,90.257,42.0,59.688,492633.78939793,18762
2021-05-20T00:00:00.0000000Z,59.557,80.403,54.514,73.807,166744.55590088,8175
2021-05-21T00:00:00.0000000Z,73.603,78.355,54.338,64.303,148537.36690572,7300
2021-05-22T00:00:00.0000000Z,64.21,65.446,54.433,58.513,52689.6274163,2700
2021-05-23T00:00:00.0000000Z,58.034,62.63,40.064,52.292,142372.43335794,6231
2021-05-24T00:00:00.0000000Z,51.964,74.927,48.984,73.821,120731.01808829,6011
2021-05-25T00:00:00.0000000Z,73.5,83.426,70.142,78.385,332709.32767687,12836
2021-05-26T00:00:00.0000000Z,78.466,89.0,73.925,79.947,213936.6448397,7707
2021-05-27T00:00:00.0000000Z,79.994,80.0,71.351,74.333,63548.78456472,3667
2021-05-28T00:00:00.0000000Z,74.287,79.159,63.601,68.146,84824.62562323,4422
2021-05-29T00:00:00.0000000Z,68.187,70.933,60.875,64.236,43909.22507019,1842
2021-05-30T00:00:00.0000000Z,64.109,68.332,60.254,66.163,45503.60863018,2108
2021-05-31T00:00:00.0000000Z,65.729,70.734,62.0,70.105,42764.84153116,1962
2021-06-01T00:00:00.0000000Z,69.99,71.98,65.775,67.856,37591.24509096,1330
2021-06-02T00:00:00.0000000Z,67.502,70.342,65.81,68.312,25786.59038638,1309
2021-06-03T00:00:00.0000000Z,68.297,72.572,67.3,70.003,35090.71160149,1443
2021-06-04T00:00:00.0000000Z,69.703,69.812,61.5,65.084,29597.60419292,1690
2021-06-05T00:00:00.0000000Z,64.88,67.315,61.707,62.931,22003.61595008,970
2021-06-06T00:00:00.0000000Z,63.268,65.589,62.988,63.974,17930.05621749,806
2021-06-07T00:00:00.0000000Z,64.329,65.121,57.398,58.049,22521.06764702,1174
2021-06-08T00:00:00.0000000Z,57.706,59.279,49.649,56.928,52197.38870541,2218
2021-06-09T00:00:00.0000000Z,56.723,62.784,53.648,62.04,61776.67487176,1898
2021-06-10T00:00:00.0000000Z,62.938,63.465,57.063,58.016,30985.90001259,1208
2021-06-11T00:00:00.0000000Z,57.971,60.65,56.186,56.779,19971.04152904,837
2021-06-12T00:00:00.0000000Z,56.618,56.746,53.105,55.209,13079.01123614,727
2021-06-13T00:00:00.0000000Z,55.23,60.456,53.893,59.011,20037.33193985,919
2021-06-14T00:00:00.0000000Z,59.073,60.78,56.313,59.237,20292.98164147,1061
2021-06-15T00:00:00.0000000Z,59.433,60.218,57.349,58.44,24972.09782506,970
2021-06-16T00:00:00.0000000Z,58.2,58.32,54.909,55.286,28716.66177337,901
2021-06-17T00:00:00.0000000Z,55.4,57.209,54.214,55.464,13525.17826972,509
2021-06-18T00:00:00.0000000Z,55.323,55.335,50.58,52.485,22826.66403092,805
2021-06-19T00:00:00.0000000Z,52.6,53.147,50.952,50.952,19646.60944564,453
2021-06-20T00:00:00.0000000Z,50.848,51.396,47.0,50.967,34746.27695163,968
2021-06-21T00:00:00.0000000Z,51.15,51.325,38.923,39.417,72816.24163362,2836
2021-06-22T00:00:00.0000000Z,39.706,42.76,32.3,36.36,71791.42607083,2874
2021-06-23T00:00:00.0000000Z,36.452,42.745,35.327,40.645,28940.80767289,1171
2021-06-24T00:00:00.0000000Z,40.958,43.5,38.925,43.079,15758.89303655,611
2021-06-25T00:00:00.0000000Z,43.335,45.403,39.012,39.611,59771.32745005,1763
2021-06-26T00:00:00.0000000Z,39.512,40.955,37.633,40.434,19377.87788306,629
2021-06-27T00:00:00.0000000Z,40.462,42.457,39.481,42.267,6247.58228706,385
2021-06-28T00:00:00.0000000Z,42.28,44.525,41.198,43.396,25409.4602639,789
2021-06-29T00:00:00.0000000Z,43.41,59.171,43.41,56.659,76695.52269291,3190
2021-06-30T00:00:00.0000000Z,57.003,62.999,51.882,57.934,127504.10498901,4509
2021-07-01T00:00:00.0000000Z,57.6,58.389,52.56,53.242,41694.38473774,1840
2021-07-02T00:00:00.0000000Z,53.46,55.368,50.732,53.792,49945.38456857,1261
2021-07-03T00:00:00.0000000Z,53.799,58.516,52.56,56.9,39462.97683125,1474
